CANTON,LST_MIN,LST_MAX,LST_RANGE,LST_MEAN,LST_STD,NBDI_MIN,NBDI_MAX,NBDI_RANGE,NBDI_MEAN,NBDI_STD,NDVI_MIN,NDVI_MAX,NDVI_RANGE,NDVI_MEAN,NDVI_STD
Aserrí,23.1177310944,48.2420578003,25.1243267059,35.7954290855,4.90334181097,-0.529648661613,0.212230578065,0.741879239678,-0.260759241771,0.129264738505,0.71697217226,0.825415074825,0.108442902565,0.784887639376,0.0281981272218
Desamparados,23.707868576,48.4888458252,24.7809772491,37.1949069118,5.4118403667,-0.561144590378,0.248456701636,0.809601292014,-0.21648009012,0.158634479876,0.651357352734,0.796661913395,0.145304560661,0.727353775823,0.0397550937273
Acosta,23.3427066803,24.5398235321,1.19711685181,23.8878821838,0.302077886923,-0.483039081097,-0.383528083563,0.0995109975338,-0.452221824573,0.0237118287214,0.176211699843,0.830833852291,0.654622152448,0.693219449438,0.0857161673005
Turrubares,36.0778465271,44.1924438477,8.11459732056,38.6898091224,2.37765148435,-0.277349054813,-0.00625652493909,0.271092529874,-0.10413228046,0.064420102378,0.281587123871,0.815923392773,0.534336268902,0.683783019845,0.0779777421846
El Guarco,19.8788871765,42.9051818848,23.0262947083,29.1580963376,4.89047394535,-0.632425785065,0.228482604027,0.860908389091,-0.29932153778,0.145591068157,-0.402041018009,0.874515652657,1.27655667067,0.671742278681,0.150059994413
Cartago,18.9530105591,52.9776573181,34.024646759,32.8784108237,6.34203821457,-0.680699169636,0.331091791391,1.01179096103,-0.249367127658,0.16309706028,-0.034012876451,0.870473384857,0.904486261308,0.660390948066,0.155948013944
Paraíso,21.9711322784,50.0880851746,28.1169528961,31.8153750146,4.74458740888,-0.678585529327,0.327751100063,1.00633662939,-0.318885247608,0.13891350665,-0.292514383793,0.853335440159,1.14584982395,0.656102894652,0.155980577768
Jiménez,24.4012508392,37.2719039917,12.8706531525,31.8260239562,2.4321923233,-0.531315147877,0.00392391299829,0.535239060875,-0.379129741478,0.0718871618563,0.00443932740018,0.857680439949,0.853241112549,0.654825878628,0.14672413398
Turrialba,20.5877285004,30.4685878754,9.880859375,24.6427420647,2.11649646938,-0.409744054079,-0.0941170677543,0.315626986325,-0.25601938427,0.0686026007029,-0.571815788746,0.836909174919,1.40872496367,0.637523091188,0.120501507941
Mora,23.0835113525,49.6138000488,26.5302886963,36.4204560123,3.74257170134,-0.572942912579,0.21621273458,0.789155647159,-0.266707497853,0.11001861182,-0.254343360662,0.855426192284,1.10976955295,0.634102581291,0.149044094227
Oreamuno,18.3804702759,52.145778656,33.7653083801,36.308996669,5.3395992303,-0.699995398521,0.276488542557,0.976483941078,-0.216973828273,0.138831419739,0.00966410059482,0.854240059853,0.844575959258,0.629363665145,0.166536601834
Alajuelita,22.8409004211,48.9396820068,26.0987815857,38.066144913,5.73895673752,-0.524688363075,0.192754462361,0.717442825437,-0.222238289666,0.152035020701,-0.0162365268916,0.856482446194,0.872718973085,0.62307438701,0.168088473131
La Unión,25.2444915771,48.7225379944,23.4780464172,36.6117333396,4.96939765832,-0.576664626598,0.269721150398,0.846385776997,-0.233698759129,0.149121677709,0.158488109708,0.847079396248,0.68859128654,0.61530947993,0.159872560943
Curridabat,31.9051265717,49.2014198303,17.2962932587,41.9239134989,3.00794419309,-0.521891236305,0.270682036877,0.792573273182,-0.116049238364,0.13838701135,-0.218507319689,0.857208073139,1.07571539283,0.600268124008,0.149170448317
Orotina,36.1075172424,41.0605659485,4.95304870605,38.1802523845,1.4924629888,-0.441256314516,-0.198411464691,0.242844849825,-0.325346295495,0.0631213621466,-0.452768832445,0.8598305583,1.31259939075,0.593101846736,0.191632893078
San José,33.9043083191,51.1647911072,17.2604827881,44.8940721178,2.31782167014,-0.629061639309,0.280005633831,0.90906727314,-0.0597274585478,0.118327036251,-0.432845950127,0.821356832981,1.25420278311,0.59137611713,0.12321581438
Escazú,23.1576137543,50.8549728394,27.6973590851,39.392593108,5.6221849906,-0.605166256428,0.257201880217,0.862368136644,-0.210611903553,0.129401077467,-0.0192607250065,0.843875706196,0.863136431202,0.576598487043,0.162004330303
Alvarado,19.2780818939,53.9571685791,34.6790866852,33.4786157979,6.14673666308,-0.675402641296,0.226797908545,0.902200549841,-0.255803841189,0.113016483485,-0.231293037534,0.862401843071,1.0936948806,0.573439988916,0.16419194773
Santa Ana,22.9836769104,51.9618759155,28.9781990051,39.2812439075,5.43415194897,-0.868835926056,0.333686828613,1.20252275467,-0.225999488861,0.123391931609,-0.081628665328,0.831934571266,0.913563236594,0.549859851677,0.20804523312
